epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6677,0.00944,0.01194,3.10138,3.30054,0.01069,0.12055,0.00496,0.00084,0,0,0,0,nan,nan,nan,nan,0.0703614,0.00329317,0.00329317
2,73.1723,0.00772,0.0092,2.54864,2.70704,0.06982,0.10959,0.01776,0.00541,0.0669,0.10685,0.01782,0.00525,nan,nan,nan,nan,0.0400305,0.00629551,0.00629551
3,109.654,0.00728,0.00897,2.35224,2.56381,0.34631,0.36712,0.21997,0.06475,0.34551,0.3589,0.20683,0.06155,0.00675,0.04492,8.78321,2.91828,0.00936646,0.00896485,0.00896485
4,146.676,0.00686,0.00874,2.18159,2.46744,0.2913,0.38904,0.24053,0.08834,0.28622,0.42192,0.24513,0.08921,0.00576,0.00966,5.79386,2.57021,0.0085015,0.0085015,0.0085015
5,183.99,0.00633,0.00857,2.1219,2.37833,0.54133,0.43652,0.44974,0.17751,0.54091,0.43577,0.44969,0.17584,0.00552,0.0089,2.38648,2.47954,0.008002,0.008002,0.008002
6,222.491,0.00606,0.00825,1.98816,2.27313,0.38135,0.46781,0.34392,0.11219,0.4012,0.50411,0.38139,0.16296,0.00563,0.00718,2.35045,2.5287,0.0075025,0.0075025,0.0075025
7,262.183,0.00569,0.00807,1.89009,2.18834,0.60096,0.53638,0.5608,0.26803,0.60096,0.53638,0.5639,0.279,0.00454,0.00786,1.90047,2.30649,0.007003,0.007003,0.007003
8,302.775,0.00556,0.00814,1.90882,2.19025,0.50254,0.56164,0.48864,0.25702,0.50009,0.5589,0.48872,0.27276,0.00434,0.00535,2.00992,2.17917,0.0065035,0.0065035,0.0065035
9,342.772,0.00524,0.00789,1.73947,2.06851,0.50825,0.59452,0.54973,0.29552,0.50629,0.6411,0.55992,0.31165,0.00435,0.00673,2.35456,2.20786,0.006004,0.006004,0.006004
10,383.72,0.00518,0.00775,1.74486,2.06886,0.57405,0.59178,0.53694,0.29916,0.58419,0.60274,0.54471,0.31115,0.00418,0.00533,1.87968,2.11412,0.0055045,0.0055045,0.0055045
11,424.99,0.00494,0.00723,1.89006,2.26283,0.48191,0.61644,0.55298,0.22917,0.49134,0.6274,0.56562,0.29569,0.00436,0.00537,1.92103,2.15656,0.005005,0.005005,0.005005
12,465.33,0.00493,0.0071,1.75563,2.22795,0.64849,0.6773,0.67882,0.37588,0.65441,0.68482,0.6928,0.41192,0.00399,0.00493,1.89072,2.10839,0.0045055,0.0045055,0.0045055
13,506.6,0.00498,0.00718,1.72846,2.30637,0.74209,0.6411,0.70726,0.38231,0.74209,0.6411,0.70354,0.43404,0.00411,0.00486,1.39317,2.14517,0.004006,0.004006,0.004006
14,548.086,0.00476,0.00719,1.6367,2.21746,0.64217,0.71507,0.71977,0.42008,0.64447,0.72329,0.72927,0.4461,0.00362,0.0051,1.31427,1.98863,0.0035065,0.0035065,0.0035065
15,589.443,0.00441,0.00697,1.4492,2.12078,0.70151,0.71233,0.73822,0.44098,0.69852,0.73151,0.74291,0.48838,0.00352,0.0053,1.24784,1.94448,0.003007,0.003007,0.003007
16,631.101,0.00432,0.00659,1.39761,2.07212,0.77813,0.73026,0.8006,0.47499,0.76494,0.73973,0.80419,0.55324,0.00345,0.0043,1.15943,1.90132,0.0025075,0.0025075,0.0025075
17,672.836,0.00445,0.00668,1.42334,2.11285,0.77566,0.73973,0.80174,0.46279,0.77566,0.73973,0.80575,0.53984,0.00353,0.00449,1.17042,1.9202,0.002008,0.002008,0.002008
18,714.881,0.00429,0.00663,1.39778,2.09902,0.73384,0.73973,0.80363,0.4827,0.72663,0.75068,0.80496,0.54111,0.00354,0.00443,1.14256,1.87209,0.0015085,0.0015085,0.0015085
19,756.685,0.00423,0.00664,1.34547,2.04575,0.78996,0.7589,0.82021,0.58365,0.78711,0.75616,0.82132,0.61526,0.00278,0.00425,1.04248,1.70608,0.001009,0.001009,0.001009
20,799.473,0.00404,0.00648,1.29473,1.97923,0.76114,0.77808,0.82464,0.57276,0.76634,0.77808,0.82955,0.6342,0.00287,0.00414,1.09296,1.71714,0.0005095,0.0005095,0.0005095
