epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5035,0.04179,nan,19.7374,3.36847,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0873395,0.0811781,0.0811781
2,76.6122,0.0422,nan,19.2154,3.0823,0.02724,0.09589,0.00796,0.00155,0,0,0,0,nan,nan,nan,nan,0.0955146,0.0955146,0.0955146
3,115.732,0.04161,nan,19.4438,3.05475,0.00985,0.12877,0.00903,0.00179,0,0,0,0,0.04087,nan,22.7033,2.98734,0.0920315,0.0920315,0.0920315
4,157.132,0.04147,nan,19.2114,3.06115,0.01062,0.13699,0.00905,0.00148,0,0,0,0,0.04076,nan,22.5016,2.98129,0.0885485,0.0885485,0.0885485
5,200.105,0.04164,nan,19.0627,3.04606,0.01109,0.14521,0.01009,0.00174,0,0,0,0,0.04073,nan,22.4794,2.98125,0.0850654,0.0850654,0.0850654
6,244.73,0.04199,nan,19.2034,3.0574,0.01254,0.16438,0.01357,0.00235,0,0,0,0,0.04074,nan,22.5117,2.98164,0.0815824,0.0815824,0.0815824
7,289.563,0.04159,nan,19.203,3.03809,0.01278,0.16712,0.01223,0.00205,0,0,0,0,0.04077,nan,22.4916,2.98207,0.0780993,0.0780993,0.0780993
8,336.994,0.04147,nan,19.1361,3.03918,0.01094,0.14247,0.01038,0.00174,0,0,0,0,0.04077,nan,22.5296,2.981,0.0746163,0.0746163,0.0746163
9,385.506,0.04197,nan,19.1233,3.0683,0.01136,0.14795,0.01237,0.002,0,0,0,0,0.04077,nan,22.5255,2.98316,0.0711332,0.0711332,0.0711332
10,432.851,0.04173,nan,19.1203,3.05281,0.01185,0.15342,0.0108,0.00179,0,0,0,0,0.04073,nan,22.5389,2.98049,0.0676502,0.0676502,0.0676502
11,479.172,0.03906,nan,20.68,2.99702,0.01324,0.1726,0.01343,0.00223,0,0,0,0,0.04069,nan,22.2898,2.98116,0.0641671,0.0641671,0.0641671
12,524.249,0.03948,nan,20.8166,3.00135,0.01093,0.13973,0.01032,0.00178,0,0,0,0,0.04073,nan,22.3022,2.98326,0.0606841,0.0606841,0.0606841
13,569.226,0.03952,nan,20.7447,3.01392,0.01041,0.13425,0.00914,0.00176,0,0,0,0,0.04069,nan,22.2046,2.98101,0.057201,0.057201,0.057201
14,614.93,0.03947,nan,20.9616,3.00903,0.01233,0.1589,0.01194,0.00211,0,0,0,0,0.04071,nan,22.2881,2.98215,0.053718,0.053718,0.053718
15,660.194,0.03951,nan,20.7707,2.99425,0.00979,0.12603,0.00863,0.00159,0,0,0,0,0.04072,nan,22.216,2.98138,0.0502349,0.0502349,0.0502349
16,704.306,0.03848,nan,20.9921,2.98937,0.00954,0.12329,0.01026,0.00169,0,0,0,0,0.04072,nan,22.2259,2.98158,0.0467519,0.0467519,0.0467519
17,750.174,0.0395,nan,20.8274,2.9993,0.01166,0.14795,0.01277,0.00247,0,0,0,0,0.0407,nan,22.247,2.98186,0.0432688,0.0432688,0.0432688
18,796.005,0.03937,nan,20.9708,2.99895,0.01188,0.15068,0.01188,0.00194,0,0,0,0,0.04074,nan,22.2661,2.98299,0.0397858,0.0397858,0.0397858
19,840.882,0.03927,nan,20.7554,2.99446,0.01085,0.13973,0.00988,0.00164,0,0,0,0,0.04073,nan,22.2957,2.98283,0.0363027,0.0363027,0.0363027
20,886.345,0.04004,nan,20.6045,2.99714,0.01337,0.16986,0.01333,0.00198,0,0,0,0,0.04071,nan,22.2008,2.98112,0.0328197,0.0328197,0.0328197
